model,split,rows,accuracy,balanced_accuracy,f1,roc_auc,log_loss,brier
majority_baseline,train,25276,0.5791,0.5,0.7334,0.5,15.1712,0.4209
majority_baseline,validation,1277,0.5106,0.5,0.676,0.5,17.6408,0.4894
majority_baseline,test,379,0.4459,0.5,0.6168,0.5,19.9714,0.5541
logistic_regression,train,25276,0.7174,0.7215,0.7404,0.802,0.5384,0.1821
logistic_regression,validation,1277,0.5732,0.5743,0.5558,0.5999,0.7492,0.2642
logistic_regression,test,379,0.504,0.4923,0.4088,0.4945,0.8581,0.3034
random_forest,train,25276,0.7056,0.7091,0.7301,0.7895,0.5739,0.1946
random_forest,validation,1277,0.5709,0.5742,0.4982,0.6004,0.6854,0.2459
random_forest,test,379,0.5541,0.5289,0.3717,0.5418,0.6949,0.2503
extra_trees,train,25276,0.7301,0.7348,0.7516,0.8126,0.563,0.1892
extra_trees,validation,1277,0.556,0.5604,0.4479,0.5973,0.6868,0.2467
extra_trees,test,379,0.5488,0.5224,0.3547,0.5224,0.7011,0.2532
gradient_boosting,train,25276,0.7038,0.6827,0.7613,0.7744,0.5576,0.1896
gradient_boosting,validation,1277,0.5748,0.5733,0.6068,0.5959,0.6922,0.2479
gradient_boosting,test,379,0.5567,0.5584,0.5359,0.5373,0.7263,0.2639
hist_gradient_boosting,train,25276,0.7211,0.703,0.7725,0.7956,0.5395,0.1821
hist_gradient_boosting,validation,1277,0.5685,0.5681,0.5816,0.5936,0.6912,0.2474
hist_gradient_boosting,test,379,0.5224,0.5182,0.4723,0.5277,0.7148,0.2594
ada_boost,train,25276,0.6818,0.6611,0.7424,0.7449,0.5899,0.2024
ada_boost,validation,1277,0.5787,0.5773,0.609,0.6013,0.6913,0.2481
ada_boost,test,379,0.562,0.5643,0.544,0.5535,0.7192,0.261
knn,train,25276,0.9936,0.9938,0.9945,0.9999,0.0107,0.0038
knn,validation,1277,0.556,0.5554,0.5727,0.5823,0.6953,0.2499
knn,test,379,0.4934,0.4897,0.4451,0.4961,0.7314,0.2668
