model,split,rows,accuracy,balanced_accuracy,f1,roc_auc,log_loss,brier
logistic_regression,train,50145,0.9133113969488483,0.9133039106859984,0.9137756620053555,0.973421291200228,0.21539477204257723,0.062290314447607464
logistic_regression,validation,2550,0.8458823529411764,0.8458823529411765,0.8308222126560482,0.9439846212995002,0.34320504462300394,0.1063892865161398
logistic_regression,test,758,0.8535620052770448,0.8535620052770448,0.8388969521044993,0.9389519705376598,0.36964211313897977,0.11237242602818151
random_forest,train,50145,0.8960813640442716,0.8958101910432377,0.9035625057832886,0.9823971988859364,0.2616840769327579,0.07544137690493925
random_forest,validation,2550,0.8588235294117647,0.8588235294117648,0.8658718330849479,0.9471243367935409,0.33898760972362846,0.10480663792371914
random_forest,test,758,0.8430079155672823,0.8430079155672823,0.8484076433121019,0.9389032379334591,0.3543017823291871,0.11083913659432809
gradient_boosting,train,50145,0.9137501246385482,0.9136972305914823,0.9152608789357158,0.9784236671595099,0.19296687460027115,0.05981449532811367
gradient_boosting,validation,2550,0.8749019607843137,0.8749019607843138,0.8702724684831232,0.9604758169934641,0.26311931037291225,0.08412988023781946
gradient_boosting,test,758,0.8693931398416886,0.8693931398416886,0.8641975308641975,0.9545638083834004,0.28633601177369966,0.08988864973258413
hist_gradient_boosting,train,50145,0.9235417289859408,0.9235171305299323,0.9243070362473348,0.9830883695420315,0.16698353634368965,0.053237640140159116
hist_gradient_boosting,validation,2550,0.8709803921568627,0.8709803921568627,0.8665314401622718,0.9587764705882352,0.261330889649752,0.08496639071139422
hist_gradient_boosting,test,758,0.8720316622691293,0.8720316622691293,0.8643356643356643,0.9522350860826644,0.286222301935188,0.0915662604174701
